premise_id,stratum,nl,siv_canonical_fol,gold_fol_normalized,tentative_category,secondary_categories,siv_only_preds,gold_only_preds,siv_only_constants,gold_only_constants,predicate_count_diff,arity_mismatches,final_category,more_principled,linguistic_argument,notes
P0302,S2_universal_simple,Pre-recorded content is a copyright violation.,CopyrightViolation(x),all x (Prerecorded(x) -> CopyrightViolation(x)),quantifier_scope_diff,connective_diff,,Prerecorded/1,,,-1,{},,,,
P0096,S2_universal_simple,All Nobel physics laureates are full-time scientists.,all x.(NobelPhysicsLaureate(x) -> FullTimeScientist(x)),all x (NobelPhysicsLaureate(x) -> FullTimeScientist(x)),vocabulary_only,,,,,,0,{},,,,
P0786,S1_atomic,TOra is under the GNU General Public License.,"UnderLicense(tOra, gnuGeneralPublicLicense)",UnderGNULicense(tora),vocabulary_only,,UnderLicense/2,UnderGNULicense/1,gnuGeneralPublicLicense; tOra,tora,0,{},,,,
P0719,S2_universal_simple,Everything that requires talent requires practice.,"all x.(Requires(x, talent) -> Requires(x, practice))","all x (Require(x, talent) -> Require(x, practice))",vocabulary_only,,Requires/2,Require/2,,,0,{},,,,
P0663,S1_atomic,Tower A is neither a building in New Haven nor a skyscraper in Manhattan.,"-((BuildingIn(towerA, newHaven) | SkyscraperIn(towerA, manhattan)))",Buildings(towerA) & (-InNewHaven(towerA)) & (-ManhattanSkyscraper(towerA)),restrictor_structure_diff,,BuildingIn/2; SkyscraperIn/2,Buildings/1; InNewHaven/1; ManhattanSkyscraper/1,manhattan; newHaven,,-1,{},,,,
P0394,S2_universal_simple,All wage earners are human.,all x.(WageEarner(x) -> Human(x)),all x (WageEarner(x) -> Human(x)),vocabulary_only,,,,,,0,{},,,,
P0282,S2_universal_simple,All humans are capable of abstract thoughts.,all x.(Human(x) -> CapableOfAbstractThoughts(x)),"all x (Human(x) -> CapableOf(x, abstractThought))",vocabulary_only,,CapableOfAbstractThoughts/1,CapableOf/2,,abstractThought,0,{},,,,
P1621,S2_universal_simple,A neuroimaging technique is either an invasive neuroimaging technique or a noninvasive neuroimaging technique.,exists x.(NeuroimagingTechnique(x) & (InvasiveNeuroimagingTechnique(x) | NoninvasiveNeuroimagingTechnique(x))),all x (NeuroimagingTechnique(x) -> (((Invasive(x) & -(Noninvasive(x))) | (-(Invasive(x)) & Noninvasive(x))))),quantifier_scope_diff,connective_diff,InvasiveNeuroimagingTechnique/1; NoninvasiveNeuroimagingTechnique/1,Invasive/1; Noninvasive/1,,,0,{},,,,
P0249,S2_universal_simple,All sci-fi movies are movies.,all x.(SciFiMovie(x) -> Movie(x)),all x (ScifiMovie(x) -> Movie(x)),vocabulary_only,,SciFiMovie/1,ScifiMovie/1,,,0,{},,,,
P1261,S2_universal_simple,Rhos Aelwyd F.C. is a Welsh football club.,WelshFootballClub(rhosAelwydFc),all x (Rhosaelwydfc(x) -> FootballClub(x) & Welsh(x)),quantifier_scope_diff,connective_diff,WelshFootballClub/1,FootballClub/1; Rhosaelwydfc/1; Welsh/1,rhosAelwydFc,,-2,{},,,,
P0118,S2_universal_simple,All certified public accountants have good business sense.,all x.(CertifiedPublicAccountant(x) -> GoodBusinessSense(x)),"all x (CertifiedPublicAccoutant(x) -> Have(x, goodBusinessSense))",vocabulary_only,,CertifiedPublicAccountant/1; GoodBusinessSense/1,CertifiedPublicAccoutant/1; Have/2,,goodBusinessSense,0,{},,,,
P0111,S2_universal_simple,Everyone at the business conference is either an investor or an entrepreneur.,"all x.(At(x, businessConference) -> (Investor(x) | Entrepreneur(x)))","all x (At(x, businessConference) -> (((Investor(x) & -(Entrepreneur(x))) | (-(Investor(x)) & Entrepreneur(x)))))",vocabulary_only,,,,,,0,{},,,,
P0257,S1_atomic,Modus Ponens is a component of a major part of reasoning rule.,"exists x.(exists y.((MajorPartOf(x, y) & ReasoningRule(y))) & ComponentOf(modusPonens, x))",ArgumentForm(modusPonens),quantifier_scope_diff,,ComponentOf/2; MajorPartOf/2; ReasoningRule/1,ArgumentForm/1,,,2,{},,,,
P0639,S2_universal_simple,Tissues are soft.,all x.(Tissue(x) -> Soft(x)),all x (Tissue(x) -> Soft(x)),vocabulary_only,,,,,,0,{},,,,
P0689,S2_universal_simple,Everyone who took the bar exam is knowledgeable about criminal procedures.,,"all x (Take(x, barExam) -> KnowledgeableAbout(x, criminalProceeder))",extraction_failure,,,,,,,{},,,,
P0965,S4_nested_quantifier,All books written by Neil Gaiman have sold more than one thousand copies.,"all x.((Book(x) & WrittenBy(x, neilGaiman)) -> SoldMoreThanOneThousandCopies(x))","all x ((Book(x) & WrittenBy(x, neilGaiman)) -> exists y (MoreThan(y, num1000) & SoldCopies(x, y)))",compound_vs_decomposed,const_vs_pred_asymmetry; quantifier_scope_diff,SoldMoreThanOneThousandCopies/1,MoreThan/2; SoldCopies/2,,num1000,-1,{},,,,
P1150,S4_nested_quantifier,"If a European plays football, they play what Americans call soccer.","all x.(European(x) -> (exists y.(Football(y) & Plays(x, y)) -> exists z.(Soccer(z) & Plays(x, z))))","all x (FootballPlayer(x) & European(x) -> exists y (Call(american, y, soccer) & Play(x, y)))",const_vs_pred_asymmetry,quantifier_scope_diff; connective_diff,Football/1; Plays/2; Soccer/1,Call/3; FootballPlayer/1; Play/2,,american; soccer,0,{},,,,
P0055,S3_universal_multi_restrictor,All monitors in the library are made before 2010.,"all x.((Monitor(x) & In(x, library)) -> MadeBefore2010(x))","all x ((Monitor(x) & In(x, library)) -> ProducedBefore(x, yr2010))",vocabulary_only,,MadeBefore2010/1,ProducedBefore/2,,yr2010,0,{},,,,
P1041,S4_nested_quantifier,"If Robin's friends study hard, then they grew up with parents who worked as doctors.",,"all x (RobinsFriends(x) & StudyHard(x) -> exists y exists z (-(y=z) & GrowUpWith(x, y) & GrowUpWith(x, z) & ParentOf(y, x) & ParentOf(z, x) & Doctor(y) & Doctor(z)))",extraction_failure,,,,,,,{},,,,
P0352,S3_universal_multi_restrictor,All of this brand's products produced in the US are sold in the US.,"all x.((ProductOfBrand(x) & ProducedIn(x, us)) -> SoldIn(x, us))","all x ((ThisBrand(x) & Product(x) & ProducedIn(x, us)) -> SoldIn(x, us))",restrictor_structure_diff,,ProductOfBrand/1,Product/1; ThisBrand/1,,,-1,{},,,,
P1382,S3_universal_multi_restrictor,None of the easy Leetcode problems have an AC rate lower than 20 percent.,all x.(EasyLeetcodeProblem(x) -> -ACRateLowerThan20Percent(x)),"all x ((LeetcodeProblems(x) & Easy(x)) -> -HaveAnACRateLowerThan(x, percent20))",restrictor_structure_diff,,ACRateLowerThan20Percent/1; EasyLeetcodeProblem/1,Easy/1; HaveAnACRateLowerThan/2; LeetcodeProblems/1,,percent20,-1,{},,,,
P1250,S3_universal_multi_restrictor,Top soccer players are soccer players who can use both the left foot and right foot very efficiently.,"all x.(TopSoccerPlayer(x) -> (SoccerPlayer(x) & exists y.(LeftFoot(y) & CanUseEfficiently(x, y)) & exists z.(RightFoot(z) & CanUseEfficiently(x, z))))","all x (SoccerPlayer(x) & UseEfficiently(x, leftFoot) & UseEfficiently(x, rightFoot) -> TopSoccerPlayer(x))",const_vs_pred_asymmetry,quantifier_scope_diff,CanUseEfficiently/2; LeftFoot/1; RightFoot/1,UseEfficiently/2,,leftFoot; rightFoot,2,{},,,,
P1354,S3_universal_multi_restrictor,People born and living in New York City are New Yorkers.,"all x.((Person(x) & BornIn(x, newYorkCity) & LiveIn(x, newYorkCity)) -> NewYorker(x))","all x ((BornIn(x, newYorkCity) & LiveIn(x, newYorkCity)) -> NewYorker(x))",restrictor_structure_diff,,Person/1,,,,1,{},,,,
P1025,S4_nested_quantifier,"If two soccer teams score the same number of goals in one UCL final during both regular and extra time, they need to play the penalty shoot-out.",,"all x all y (SoccerTeam(x) & SoccerTeam(y) & SameScore(x, y) & During(regularTime) & During(extraTime) -> PlayPenalty(x, y))",extraction_failure,,,,,,,{},,,,
P0795,S3_universal_multi_restrictor,"If a horse falls in a race, it poses risks to its rider.","all x.(Horse(x) -> exists y.((Race(y) & FallsIn(x, y)) & exists z.(RiderOf(z, x) & PosesRisksTo(x, z))))","all x (Horse(x) & InRace(x) & Falls(x) -> PoseRiskTo(x, rider))",compound_vs_decomposed,quantifier_scope_diff,FallsIn/2; PosesRisksTo/2; Race/1; RiderOf/2,Falls/1; InRace/1; PoseRiskTo/2,,rider,1,{},,,,
P0378,S4_nested_quantifier,"If the meal is popular at the party, then it is delicious.","(PopularAt(theMeal, theParty) -> Delicious(theMeal))","all x all y (Meal(y) & PopularAt(y, party) -> Delicious(y))",quantifier_scope_diff,,,Meal/1,theMeal; theParty,party,-1,{},,,,
P0861,S4_nested_quantifier,Some fruits sold in New Haven are shipped from Mexico.,"exists x.((Fruit(x) & SoldIn(x, newHaven)) & ShippedFrom(x, mexico))","exists x exists y (Fruit(x) & SoldIn(x, newHaven) & ShippedFrom(x, mexico) & (-(x=y)) & Fruit(y) & SoldIn(y, newHaven) & ShippedFrom(y, mexico))",quantifier_scope_diff,,,,,,0,{},,,,
P1106,S3_universal_multi_restrictor,Flightless birds cannot fly over a vast distance.,"all x.(FlightlessBird(x) -> -(FlyOver(x, distance)))","all x (Flightless(x) & Bird(x) -> -FlyOver(x, vastDistance))",restrictor_structure_diff,,FlightlessBird/1,Bird/1; Flightless/1,distance,vastDistance,-1,{},,,,
P0528,S3_universal_multi_restrictor,"If someone in Love City is good with pets, then they are not scared of animals.",,"all x ((GoodWith(x, pet) & In(x, loveCity)) -> -ScaredOf(x, animal))",extraction_failure,,,,,,,{},,,,
P1563,S4_nested_quantifier,"If someone has been scratched or bitten by some entity, they have been attacked by that entity.",,"all x exists y (BittenBy(x, y) | ScratchedBy(x, y)) -> AttackedBy(x,y)",extraction_failure,,,,,,,{},,,,
P0030,S3_universal_multi_restrictor,All customers in James' family who subscribe to AMC A-List are eligible to watch three movies every week without any additional fees.,"all x.((Customer(x) & InFamily(x, james) & SubscribeTo(x, amcAList)) -> all y.(Movie(y) -> EligibleToWatch(x, y)))","all x ((Customer(x) & In(x, jameSFamily) & SubscribedTo(x, aMCAList)) -> EligibleForThreeFreeMoviesEveryWeekWithoutAdditionalFees(x))",quantifier_scope_diff,connective_diff,EligibleToWatch/2; InFamily/2; Movie/1; SubscribeTo/2,EligibleForThreeFreeMoviesEveryWeekWithoutAdditionalFees/1; In/2; SubscribedTo/2,amcAList; james,aMCAList; jameSFamily,1,{},,,,
P1465,S3_universal_multi_restrictor,Every terrifying building on Halloween is a creepy haunted house.,all x.((Terrifying(x) & Building(x) & OnHalloween(x)) -> CreepyHauntedHouse(x)),all x (TerrifyingBuilding(x) & OnHalloween(x) -> CreepyHauntedHouse(x)),restrictor_structure_diff,,Building/1; Terrifying/1,TerrifyingBuilding/1,,,1,{},,,,
P1561,S3_universal_multi_restrictor,A werewolf is a human that can turn into a wolf.,"all x.(Werewolf(x) -> exists y.((Human(x) & Wolf(y)) & CanTurnInto(x, y)))","all x (Human(x) & CanTurnInto(x, wolf) -> Werewolf(x))",const_vs_pred_asymmetry,quantifier_scope_diff,Wolf/1,,,wolf,1,{},,,,
P0298,S4_nested_quantifier,All working people who hate working for others want to be entrepreneurs.,all x.((Working(x) & HateWorkingForOthers(x)) -> WantToBeEntrepreneur(x)),"all x (exists y exists z (-(y=x) & -(z=x) & -(y=z) & HateWorkingFor(x, y) & HateWorkingFor(x, z)) -> Entrepreneur(x))",quantifier_scope_diff,,HateWorkingForOthers/1; WantToBeEntrepreneur/1; Working/1,Entrepreneur/1; HateWorkingFor/2,,,1,{},,,,
P1339,S3_universal_multi_restrictor,"If you go somewhere by car and meet a traffic jam, you will lose time.",,"all x((GoByCar(x) & Meet(x, trafficJam)) -> LoseTime(x))",extraction_failure,,,,,,,{},,,,
P0983,S5_relational,Maya would only play the violin if her fingers could never be injured.,(PlayViolin(maya) -> -FingersInjured(mayaFingers)),"Play(maya, violin) -> -CanInjure(maya, fingers)",vocabulary_only,,FingersInjured/1; PlayViolin/1,CanInjure/2; Play/2,mayaFingers,fingers; violin,0,{},,,,
P0841,S5_relational,Atlanta is in Georgia.,"In(atlanta, georgia)","In(california, unitedStates)",vocabulary_only,,,,atlanta; georgia,california; unitedStates,0,{},,,,
P0599,S5_relational,"If John is not a PhD student, then he is not a member of the university.","(-PhDStudent(john) -> -MemberOf(john, university))","-PhDStudent(john) -> -MemberOf(john, university)",vocabulary_only,,,,,,0,{},,,,
P0341,S5_relational,Ryan is performing at New Haven Symphony Orchestra.,"PerformAt(ryan, newHavenSymphonyOrchestra)","PerformAt(ryan, newHavenSymphonyOrchestra)",exact_match,,,,,,0,{},,,,
P0490,S5_relational,Daniel studied bioengineering during his undergraduate at Rice University.,,"Studied(daniel, bioengineering) & UndergraduateAt(daniel, riceUniversity)",extraction_failure,,,,,,,{},,,,
P0839,S5_relational,Los Angeles is a city in California.,"(City(losAngeles) & In(losAngeles, california))","In(losAngeles, california)",restrictor_structure_diff,,City/1,,,,1,{},,,,
P0239,S5_relational,Fort Carillon was located in New France.,"LocatedIn(fortCarillon, newFrance)","LocatedIn(fortCarillon, newFrance)",exact_match,,,,,,0,{},,,,
P0228,S5_relational,Mongolia was where Ambiortus Dementjevi lived.,"LivedIn(ambiortusDementjevi, mongolia)","LiveIn(ambiortusDementjevi, mongolia)",vocabulary_only,,LivedIn/2,LiveIn/2,,,0,{},,,,
P0899,S5_relational,Hugh Vanstone is from the UK.,"From(hughVanstone, uk)","From(hughVanstone, unitedKingdom)",vocabulary_only,,,,uk,unitedKingdom,0,{},,,,
P0236,S5_relational,"Jack is entitled to the right to life and liberty, has human rights, or knows about the first-in-first-out data structure.",(EntitledToRightToLifeAndLiberty(jack) | HasHumanRights(jack) | KnowsAboutFIFODataStructure(jack)),"(EntitledTo(jack, rightToLifeAndLiberty) | Have(jack, humanRights) | Know(jack, firstInFirstOutDataStructure))",vocabulary_only,,EntitledToRightToLifeAndLiberty/1; HasHumanRights/1; KnowsAboutFIFODataStructure/1,EntitledTo/2; Have/2; Know/2,,firstInFirstOutDataStructure; humanRights; rightToLifeAndLiberty,0,{},,,,
P1086,S6_negation,"Lithium is either a non-rare earth element and essential for exploring future directions of electronics, or is not a non-rare earth element and is not essential for exploring future directions of electronics.",((NonRareEarthElement(lithium) & EssentialForExploringFutureDirectionsOfElectronics(lithium)) | (-NonRareEarthElement(lithium) & -EssentialForExploringFutureDirectionsOfElectronics(lithium))),"-(((-RareEarthElement(lithium) & -(EssentialFor(lithium, electronics))) | (-(-RareEarthElement(lithium)) & EssentialFor(lithium, electronics))))",vocabulary_only,,EssentialForExploringFutureDirectionsOfElectronics/1; NonRareEarthElement/1,EssentialFor/2; RareEarthElement/1,,electronics,0,{},,,,
P1056,S8_other,Peter Parker is either a superhero or a civilian.,(Superhero(peterParker) | Civilian(peterParker)),((Superhero(peterParker) & -(Civilian(peterParker))) | (-(Superhero(peterParker)) & Civilian(peterParker))),vocabulary_only,,,,,,0,{},,,,
P0792,S6_negation,James is a customer who is not between the ages of 60 and 80.,(Customer(james) & -AgeBetween60And80(james)),"Customer(james) & (-exists y(Between(y, num60, num80) & Age(james, y)))",compound_vs_decomposed,const_vs_pred_asymmetry; quantifier_scope_diff,AgeBetween60And80/1,Age/2; Between/3,,num60; num80,-1,{},,,,
P0137,unparseable,All people who attend weddings are getting married or know the people who are getting married.,"all x.(exists y.((Person(x) & Attend(x, y) & Wedding(y))) -> (GettingMarried(x) | exists z.(GettingMarried(z) & Know(x, z))))","all x (Attend(x, wedding) -> GettingMarried(x) | (exists y (Know(x, y) & GettingMarried(y)))",const_vs_pred_asymmetry,quantifier_scope_diff,Person/1; Wedding/1,,,wedding,2,{},,,,
P1373,unparseable,All professional centerbacks are professional soccer defenders.,all x.(ProfessionalCenterback(x) -> ProfessionalSoccerDefender(x)),all x ((Professional(x) & CenterBack(x)) -> (Professional(x) & Defender(x)),restrictor_structure_diff,,ProfessionalCenterback/1; ProfessionalSoccerDefender/1,CenterBack/1; Defender/1; Professional/1,,,-1,{},,,,
